market_id,selection_id,race_time,reference_price,reference_time,price_at_flag,time_at_flag,percentage_drop,actual_sp,outcome,result
1.261097278,42256123,2026-08-16 05:15:00+00:00,6.4,79.276,5.6,19.219,12.50000000000001,,LOSER,2.5714285714285765
1.261132428,101639153,2026-08-17 06:45:00+00:00,4.8,83.52,4.0,23.467,16.666666666666664,,LOSER,5.200000000000003
1.26116449,85815290,2026-08-17 04:07:00+00:00,9.6,85.372,8.6,25.447,10.416666666666668,,LOSER,1.3488372093023244
1.260643697,71981404,2026-08-03 06:09:00+00:00,10.5,87.264,8.8,27.327,16.190476190476183,,LOSER,4.886363636363633
1.260643699,34337357,2026-08-03 06:49:00+00:00,9.8,87.616,8.0,27.349,18.367346938775515,,LOSER,6.3500000000000085
1.260715405,64764682,2026-08-04 07:02:00+00:00,4.6,64.274,4.1,4.234,10.869565217391305,,LOSER,1.6097560975609753
1.260715407,35934737,2026-08-04 07:29:00+00:00,10.0,64.19,8.2,4.198,18.000000000000007,,LOSER,6.097560975609767
1.260715409,97243268,2026-08-04 08:03:00+00:00,5.8,64.629,5.1,4.273,12.068965517241384,,LOSER,2.3137254901960844
1.260715413,101218009,2026-08-04 09:00:00+00:00,5.3,64.241,4.2,4.265,20.754716981132063,,LOSER,8.047619047619051
1.260715415,70930471,2026-08-04 09:30:00+00:00,8.0,64.219,7.0,4.273,12.5,,LOSER,2.5714285714285765
1.260754604,99531783,2026-08-06 03:30:00+00:00,5.0,66.866,4.5,6.883,10.0,,WINNER,1.1111111111111145
1.260601335,9310466,2026-08-01 09:52:00+00:00,10.5,84.655,9.4,24.667,10.476190476190473,,LOSER,1.38297872340425
1.260601339,86587699,2026-08-01 10:59:00+00:00,7.2,84.61,6.2,24.584,13.88888888888889,,LOSER,3.41935483870968
1.260925797,101449148,2026-08-10 05:20:00+00:00,1.56,12.421,1.4,76.032,10.256410256410266,,LOSER,1.2571428571428598
1.260925907,91115820,2026-08-11 02:30:00+00:00,5.9,64.346,5.1,4.197,13.559322033898315,,LOSER,3.2156862745098067
